conversation_id,turn_number,corpus_text,corpus_emotion,corpus_polarity,corpus_empathy,icl_text,icl_emotion,icl_polarity,icl_empathy
393,6,Ehh I wonder. Sometimes it seems that certain celebrities like it and others don't. I am a private person so I really do not understand this type of thing.,1.993434190750122,1,1.6457613706588745,I agree. I don't think celebrities are that interesting and it's really hard to keep up with them.,2.11564564704895,2,1.9281044006347656
393,7,Same here. I don't know why you'd ever enjoy having your personal life and situations splashed on every tabloid.,2.4854748249053955,2,1.9772700071334839,I think most people are the same way. There is so much going on in the world that it's hard to keep up with everything.,2.222485065460205,2,2.215698003768921
393,8,"yeah, i never hear anything about this. All you see are celeb gossip and things of that nature",1.8109989166259766,1,1.5571345090866089,Yeah. I think that the world has its own problems that need to be dealt with.,2.0638139247894287,1,2.0082051753997803
393,9,Maybe I guess I just can't wrap my head around the why. They aren't famous themselves (I don't think) unless they're trying to create some fame,1.7741882801055908,1,1.643839716911316,I also think that celebrities are often overrated and that their problems are not as big as they make them out to be.,2.1483190059661865,2,2.115227222442627
393,10,yeah me and you can both be journalists nowadays. dont get me wrong its still tough work but it seems easier than the old days,2.0642330646514893,0,1.7992973327636719,I think that's true. People often focus on the wrong things.,1.8069528341293335,1,2.022735118865967
394,6,I agree and she was so young when they married i think it was probable theyd grow apart,2.2372219562530518,2,2.761735200881958,I agree. It is surprising to see the older person feeling insecure about their relationship.,2.5281269550323486,2,2.991213321685791
394,7,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?,1.4476712942123413,1,1.3334671258926392,Perhaps it is because Jolie is so much younger and has more life experiences.,1.7931060791015625,1,2.4129271507263184
394,8,I wonder how Dakota and Elle Fanning are doing now.,1.7891584634780884,1,1.7454465627670288,That could be a factor. The younger person may have different priorities and expectations.,1.481928825378418,1,2.2717015743255615
394,9,"Yeah. Thing is though, Lebron was a star at 13, and he's been faithfully married to the same girl since like 20.",2.5049126148223877,1,2.1941823959350586,It is also possible that Thornton feels threatened by Jolie's younger age and success.,2.2465953826904297,2,3.0890262126922607
394,10,I'm happy they waited for the children to be over 18 before the marriage broke up.,2.781423330307007,0,2.6066384315490723,That is an interesting point. The older person may feel overshadowed by the younger one.,1.7978978157043457,1,2.089439868927002
396,6,"Agreed, I'm sure he would be less likely to do that if he had grown up in more stable conditions.",1.9378033876419067,1,2.7324399948120117,I completely agree. The foster system plays a crucial role in the lives of these children.,2.253594160079956,0,3.087751626968384
396,7,"yes it needs help, but i think there is a lack of good foster parents",2.44216251373291,2,3.0258474349975586,Absolutely. It's heartbreaking to think about the challenges they face.,3.6611576080322266,2,3.6975910663604736
396,8,"Oh that's so sad... My neighbors did foster care a lot, and they were a great family.",3.2489333152770996,1,3.4907214641571045,"Yes, it's a complex issue that requires a multi-faceted approach.",1.8606876134872437,2,2.039886236190796
396,9,"unfortunately, i think stories like this are all too common with children who go through the foster system.",2.8367702960968018,2,3.2003302574157715,I wonder what other solutions could be explored to improve the foster system.,1.5124964714050293,1,2.274886131286621
396,10,"Yeah that's a good point, too. It must be some pretty dedicated and caring people who do this.",2.2955477237701416,0,2.71240496635437,That's a great question. Perhaps there could be more emphasis on preventive measures.,1.917161226272583,1,2.2770767211914062
398,6,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?,1.4476712942123413,1,1.3334671258926392,"I thought it was interesting that she said she wanted to help the child, but the child's father was not interested.",1.9293506145477295,1,2.4554600715637207
398,7,I only slightly cared about the article was my parents were divorced when I was around 8 or 9.,1.6844043731689453,1,1.7475206851959229,"I agree, it was a bit odd.",1.7630398273468018,2,1.4294134378433228
398,8,"Yes I think it is sad for the kids, too. innocents.",3.0459625720977783,2,3.684324026107788,I wonder if the father was just not ready to be a parent or if he was just not interested in the child.,1.9732975959777832,1,2.6335787773132324
398,9,probably not. I'm not sure whatever happened to him. Do you think Brad was really abusive towards their children?,1.9245482683181763,1,2.077455759048462,"I don't know, it could be a combination of both.",1.3039700984954834,1,1.4841727018356323
398,10,I thought the article was very thought provoking and in line with things I felt already.,2.1601755619049072,1,1.9368376731872559,I think it's important to have both parents involved in a child's life.,2.130877733230591,1,2.771536350250244
402,6,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?,1.4476712942123413,1,1.3334671258926392,I agree. It's amazing how they've been able to stay together despite the ups and downs.,2.952000379562378,0,2.7045178413391113
402,7,"I just never understood why he'd leave her for Angelina, but what do I know lol",2.294344186782837,1,2.076566696166992,It's definitely a testament to their commitment and love for each other.,2.313673973083496,0,2.5402817726135254
402,8,yes but maybe I'm just biased because I was very pro brad and jennifer lol,1.9838159084320068,1,1.5023890733718872,I wonder what their secret is. How do they manage to overcome the challenges?,1.8587149381637573,1,1.9480218887329102
402,9,I agree and she was so young when they married i think it was probable theyd grow apart,2.2372219562530518,2,2.761735200881958,"I think it's a combination of good communication, understanding, and a willingness to work through things.",1.7991669178009033,0,2.4414117336273193
402,10,probably not. I'm not sure whatever happened to him. Do you think Brad was really abusive towards their children?,1.9245482683181763,1,2.077455759048462,"Yeah, those are all important factors in any successful relationship.",2.0141141414642334,1,2.328439474105835
